OBJECTID,ProvNo,PovName,DistNo,DistName,regular_radio_listener_pct,comm_risk_index,comm_risk_pct,female_literacy_pct,has_no_soap_pct,male_literacy_pct,has_no_drinkwater_pct,has_no_water_handwashing_pct,prox_risk_index,socioecon_risk_index,time_to_water_greater_30_pct,shares_toilet_with_others_pct,WASH_risk_index,Shape__Area,Shape__Length
56,106,MUCHINGA,106001,CHAMA,34.8329925537109,4.17893552780151,33.2373008728027,38.3387603759766,74.8292617797852,74.2550888061523,95.6811904907227,66.8731231689453,3.46441006660461,4.00490236282349,35.0353355407715,37.4560317993164,3.65151762962341,1.43090292634369,8.54503494977465
57,106,MUCHINGA,106002,CHINSALI,49.835880279541,2.32449913024902,23.0971851348877,58.273021697998,76.8520812988281,80.9631958007813,95.8669357299805,71.9097213745117,2.02058339118958,3.3775098323822,19.3408546447754,27.664192199707,2.60352540016174,0.515254788124253,5.22236424961212
58,106,MUCHINGA,106003,ISOKA,50.1444206237793,2.18997669219971,21.8716716766357,58.9792022705078,77.8463592529297,77.0881423950195,94.1722030639648,70.7853775024414,1.93736410140991,3.24501895904541,23.8963947296143,30.6340827941895,2.99463868141174,0.391123849229842,4.7147410552499
59,106,MUCHINGA,106004,MAFINGA,47.3678398132324,2.9122941493988,26.1558074951172,50.3715744018555,87.0513381958008,73.6786270141602,98.3667984008789,68.3944320678711,1.31435906887054,4.15109634399414,29.1871643066406,24.2960243225098,3.41404128074646,0.342165862893239,3.79653022050146
60,106,MUCHINGA,106005,MPIKA,51.496639251709,2.29103136062622,21.2111511230469,63.3954620361328,68.3684005737305,79.3876419067383,90.6664276123047,67.4656600952148,3.15873908996582,2.80359053611755,20.3595008850098,31.9047698974609,2.14977335929871,1.42215847560149,8.89505523887776
61,106,MUCHINGA,106006,NAKONDE,56.9193687438965,2.00324368476868,17.680643081665,60.6517562866211,60.2340965270996,77.7623901367188,95.3262100219727,69.683219909668,1.78159928321838,2.51469349861145,23.054759979248,37.3403396606445,2.45148634910584,0.389687651655322,4.20000451044358
62,106,MUCHINGA,106007,SHIWAN'GANDU,46.2040634155273,3.69279026985168,30.4644660949707,59.7297248840332,82.2340698242188,79.9277801513672,98.3999252319336,73.6418914794922,2.01806592941284,4.01977300643921,19.8536319732666,19.7003345489502,2.58315801620483,0.76115826876449,6.11613103604019
63,106,MUCHINGA,106008,KANCHIBIYA,43.8287696838379,4.25417613983154,34.2232933044434,49.940185546875,68.3895797729492,79.120002746582,99.2278060913086,75.5050430297852,1.42537581920624,4.27660036087036,17.0385112762451,24.2178363800049,2.10979771614075,0.726674464897542,4.74766395329118
64,106,MUCHINGA,106009,LAVUSHIMANDA,39.783317565918,4.42570877075195,34.9778785705566,51.0372657775879,73.9372406005859,72.1850280761719,97.1818695068359,73.0982284545898,3.39829897880554,4.21216583251953,21.9599189758301,26.8395652770996,2.58823657035828,1.17657410810148,8.62970535611838
65,107,NORTHERN,107001,CHILUBI,44.4505958557129,3.67030119895935,30.2099418640137,36.3183097839355,72.9793319702148,75.3151473999023,98.7392044067383,64.8772735595703,1.17246675491333,4.67669439315796,15.7381277084351,28.8006267547607,1.94635653495789,0.427155954556753,3.73977523622268
66,107,NORTHERN,107002,KAPUTA,46.9576530456543,2.73207092285156,25.3275756835938,45.1767234802246,69.6139907836914,78.3446578979492,91.5395126342773,71.73046875,2.43363046646118,3.38031458854675,32.4664688110352,33.7525634765625,3.14321804046631,0.412745764558764,4.78003507504854
67,107,NORTHERN,107003,KASAMA,53.4815368652344,2.33502626419067,21.906623840332,62.8476104736328,64.3229522705078,85.5774688720703,90.3569793701172,68.9643936157227,2.74667072296143,2.9636344909668,13.9808788299561,28.7566833496094,1.71847009658813,0.873546870105258,7.87682588026775
68,107,NORTHERN,107004,LUWINGU,45.976261138916,3.66085171699524,30.3774719238281,51.4879188537598,65.7803726196289,81.0428619384766,96.0731811523438,66.452262878418,1.25786244869232,3.86408138275146,17.5054130554199,17.9254188537598,1.51240611076355,0.404139366495485,5.00302620892601
69,107,NORTHERN,107005,MBALA,52.342830657959,2.28101634979248,22.4842166900635,51.4013595581055,43.8398094177246,75.0762023925781,94.0688247680664,75.6682968139648,2.05900311470032,3.36403679847717,23.9232063293457,26.9580612182617,1.60486888885498,0.275084061442385,3.54755816648565
70,107,NORTHERN,107006,MPOROKOSO,49.1486053466797,2.37555718421936,23.051212310791,56.6321678161621,51.4874687194824,82.6605606079102,91.6872406005859,73.4174346923828,1.67850720882416,3.15729451179504,17.1035118103027,21.341236114502,1.43509113788605,0.344712306066356,4.3217246044777
71,107,NORTHERN,107007,MPULUNGU,46.0321426391602,2.49022006988525,24.0223541259766,52.4152565002441,61.7004432678223,81.71044921875,89.6794662475586,73.3483657836914,1.97422170639038,3.30001306533813,29.2490386962891,27.9831771850586,2.17663836479187,0.82784665263145,5.88068089439692
72,107,NORTHERN,107008,MUNGWI,48.8425064086914,3.15756249427795,27.5009994506836,47.7564888000488,72.4173126220703,80.1301879882813,98.0624313354492,74.4272994995117,1.19813644886017,4.13140249252319,21.4007110595703,21.2425327301025,2.33814477920532,0.804682429909377,5.47421689069482
73,107,NORTHERN,107009,NSAMA,37.865062713623,4.44902038574219,36.4720420837402,39.491626739502,75.0867919921875,75.5387802124023,97.9297180175781,78.4915008544922,2.00863122940063,4.03722095489502,30.7374267578125,31.1246585845947,3.7395007610321,0.61474815878708,5.40843907611766
74,107,NORTHERN,107010,SENGA HILL,49.341438293457,2.99263000488281,26.6588535308838,46.2333908081055,53.3355751037598,80.2175369262695,98.9413986206055,78.320182800293,1.19287896156311,4.07619190216064,27.2909545898438,21.3663063049316,1.98653280735016,0.426738758768806,5.28829224004314
75,107,NORTHERN,107011,LUNTE,45.83203125,3.55536770820618,29.5102291107178,49.2882385253906,65.9478912353516,81.5560684204102,98.4930877685547,74.9609832763672,1.09815692901611,4.14780187606812,20.7678241729736,15.1882514953613,1.67240417003632,0.640631186043123,7.01388416757311
76,107,NORTHERN,107012,LUPOSOSHI,44.0152854919434,4.00974369049072,32.2641677856445,42.6223564147949,73.1119842529297,77.2427749633789,99.0028305053711,66.5684814453125,1.20505797863007,4.50206136703491,18.1607456207275,21.2279014587402,1.76913738250732,0.340196956263043,4.42329865997854
77,108,NORTH-WESTERN,108001,CHAVUMA,18.0834712982178,4.9820613861084,46.6025810241699,61.3083763122559,79.7281723022461,79.0509033203125,95.2453918457031,77.9087219238281,2.5239634513855,3.30240488052368,20.1557655334473,41.4311752319336,3.63345646858215,0.403141038478651,3.71812717964325
78,108,NORTH-WESTERN,108002,IKELENGE,27.5231018066406,4.56077909469604,38.7653541564941,47.5615921020508,79.3093643188477,79.362548828125,98.396614074707,73.636962890625,2.05889534950256,3.86736345291138,31.7687892913818,25.1685886383057,3.50163888931274,0.182254617828846,3.43728513610581
79,108,NORTH-WESTERN,108003,KABOMPO,17.3260459899902,4.83760023117065,44.6047019958496,62.8094177246094,81.9210052490234,81.2326507568359,92.9183959960938,77.1650695800781,3.2687304019928,3.51189589500427,19.0145931243896,34.9584045410156,3.42029619216919,0.594704956545797,4.84450934032779
80,108,NORTH-WESTERN,108004,KASEMPA,23.5041637420654,4.85256862640381,47.8577651977539,59.4910659790039,75.2699966430664,75.2658157348633,92.4352264404297,75.4926681518555,3.11214733123779,3.66955852508545,29.7369613647461,28.394998550415,3.42388725280762,1.82804745967681,8.92904043129017
81,108,NORTH-WESTERN,108005,MANYINGA,15.4985780715942,4.99768543243408,48.6954498291016,60.7939376831055,84.8831253051758,80.1203536987305,98.0600814819336,76.8454132080078,2.5712833404541,3.51493692398071,22.631950378418,31.2875156402588,3.68991708755493,0.618503564088655,5.18710579041759
82,108,NORTH-WESTERN,108006,MUFUMBWE,15.8448219299316,4.96424198150635,49.8850936889648,57.9803161621094,88.3684768676758,76.380729675293,94.1625289916992,76.3609848022461,3.22075581550598,3.69612050056458,26.9981803894043,31.517915725708,3.89154458045959,1.57838982366832,10.4519731344172
83,108,NORTH-WESTERN,108007,MWINILUNGA,17.1009693145752,4.81184720993042,50.9154319763184,48.2647705078125,83.9287490844727,79.1700210571289,90.5353698730469,79.196647644043,2.55897760391235,3.55066680908203,25.7070846557617,31.1945781707764,3.45255637168884,1.55332886968841,10.8822513233208
84,108,NORTH-WESTERN,108008,SOLWEZI,40.1284675598145,1.25991559028625,10.9453706741333,73.7687377929688,63.9095230102539,88.4659805297852,63.4081115722656,58.3185348510742,4.09693956375122,1.68076455593109,9.94265842437744,39.6792068481445,1.6001889705658,0.277577413619497,3.66575191063148
85,108,NORTH-WESTERN,108009,ZAMBEZI,18.4786911010742,4.75002956390381,44.1238594055176,61.5489616394043,83.3214340209961,79.0330276489258,91.3687896728516,76.9587020874023,3.06955933570862,3.51938152313232,18.7113437652588,41.467845916748,3.64853072166443,1.16705491930804,7.49450388507944
86,108,NORTH-WESTERN,108010,KALUMBILA,18.7584762573242,4.80830383300781,54.7931747436523,53.0958557128906,81.4545288085938,74.3660659790039,95.0938339233398,76.2022933959961,3.16546821594238,3.40153694152832,26.5429801940918,33.1456832885742,3.63972115516663,1.36581257333674,8.00392153384675
87,108,NORTH-WESTERN,108011,MUSHINDAMO,26.8948650360107,4.80858325958252,49.9644660949707,51.8418159484863,78.5664138793945,67.6230773925781,96.6408081054688,76.2084503173828,3.14959383010864,3.67897319793701,21.7781867980957,32.8994064331055,3.27010583877563,0.868283818967655,8.58082869373814
88,109,SOUTHERN,109001,CHIKANKATA,48.3913879394531,1.40477025508881,18.9810256958008,68.9416732788086,65.9605865478516,76.0656661987305,94.7702789306641,71.5546112060547,3.77529525756836,2.97097706794739,33.9453620910645,43.6596145629883,3.54857087135315,0.227087132291047,2.79591768475201
89,109,SOUTHERN,109002,CHOMA,51.4308166503906,3.66420078277588,30.2026672363281,69.836311340332,65.1438293457031,79.9510269165039,88.2536315917969,75.0560150146484,3.8803825378418,2.63251113891602,24.6712493896484,44.4815330505371,3.14058470726013,0.439473641639154,4.584516740804
90,109,SOUTHERN,109003,GWEMBE,23.2574920654297,3.90129518508911,31.7242565155029,52.3583564758301,74.1828308105469,76.2069931030273,97.0329895019531,80.4711837768555,3.79319214820862,3.63502049446106,34.6906204223633,49.6831893920898,4.53768825531006,0.339047620678002,2.86748741480042
91,109,SOUTHERN,109004,KALOMO,49.8537750244141,3.8006808757782,31.0519275665283,68.7027969360352,72.5201263427734,78.0545196533203,95.7940139770508,82.1011352539063,4.56236553192139,2.9729106426239,34.2217712402344,47.1503791809082,4.30488586425781,0.710931928510661,5.39101957321414
92,109,SOUTHERN,109005,KAZUNGULA,30.8825073242188,3.74516034126282,31.1607360839844,63.5957794189453,65.4049072265625,77.7784576416016,92.8461837768555,75.6015167236328,4.56629228591919,3.30709934234619,33.7135581970215,50.0576515197754,3.76296710968018,1.53127335259302,9.38028385112852
