ProvNo,PovName,DistNo,DistName,female_literacy_pct,mrp_estimate,mrp_estimate_se,post_lit_MR_est,post_lit_MR_err,post_lit_MR_lower,post_lit_MR_upper,post_lit_IO_est,post_lit_IO_err,post_lit_IO_lower,post_lit_IO_upper,fraym_mrp_err_sq,fraym_mr_err_sq,fraym_io_err_sq
109,SOUTHERN,109008,Monze,72.33280945,0.688546344,0.10156165,0.705029423,0.510881762,0.685971314,0.722780255,0.699599595,0.507571015,0.686358304,0.711866182,0.00120977,3.35E-04,5.63E-04
109,SOUTHERN,109005,Kazungula,63.59577942,0.670446577,0.101615979,0.679010855,0.514059754,0.654836814,0.702424851,0.669996239,0.511756485,0.649605193,0.690274425,0.001189476,0.001853566,0.001158616
102,COPPERBELT,102001,Chililabombwe,69.52462769,0.663183981,0.101965733,0.615496123,0.515162274,0.586571537,0.643386388,0.601745077,0.514935013,0.573531704,0.628580669,0.001027991,0.006360087,0.008742474
109,SOUTHERN,109009,Namwala,66.35609436,0.69476601,0.101698013,0.703439615,0.514053507,0.679908522,0.726473161,0.690298979,0.513308519,0.667711579,0.712075392,9.74E-04,0.001590308,7.15E-04
105,LUSAKA,105003,Chongwe,74.15309143,0.710816444,0.101807646,0.668912283,0.510979954,0.650102895,0.687524607,0.672727028,0.508174594,0.658854418,0.686293419,9.43E-04,0.005273466,0.004733975
108,NORTH-WESTERN,108001,Chavuma,61.30837631,0.638555529,0.102823203,0.653735329,0.51697015,0.623688952,0.683746847,0.64058847,0.517982656,0.606821488,0.671488926,6.49E-04,0.00165255,7.57E-04
109,SOUTHERN,109011,Siavonga,57.41366577,0.599598163,0.103044876,0.671435855,0.515040181,0.644911484,0.697028334,0.69897259,0.515453393,0.674093337,0.72290345,6.48E-04,0.009467134,0.01558401
102,COPPERBELT,102006,Lufwanyama,49.52643585,0.472650355,0.101690175,0.656206896,0.512950287,0.632822971,0.677849958,0.620527904,0.511422619,0.599547573,0.640737053,5.11E-04,0.0259025,0.015690956
101,CENTRAL,101010,Ngabwe,53.47216415,0.556881312,0.101496952,0.632935648,0.520260141,0.593100016,0.667221621,0.574850728,0.522337747,0.530841815,0.617036008,4.91E-04,0.009645991,0.001610344
109,SOUTHERN,109004,Kalomo,68.70279694,0.665193904,0.101942954,0.682357056,0.512087466,0.66177315,0.7025475,0.65750443,0.509658014,0.639888561,0.673827629,4.77E-04,2.18E-05,8.72E-04
109,SOUTHERN,109002,Choma,69.83631134,0.719861605,0.101941197,0.677272962,0.51150316,0.6567197,0.69690893,0.670262608,0.508697156,0.65504032,0.684934864,4.62E-04,4.45E-04,7.90E-04
102,COPPERBELT,102010,Ndola,79.48252106,0.774152201,0.101802665,0.667577707,0.50975718,0.650072328,0.683903061,0.68749809,0.506520262,0.67644381,0.698367638,4.27E-04,0.016191927,0.011519111
108,NORTH-WESTERN,108008,Solwezi,73.76873779,0.718087617,0.101971805,0.673918065,0.510267926,0.656100382,0.691081002,0.683583359,0.506261819,0.672426838,0.694620892,3.84E-04,0.004066525,0.002927245
110,WESTERN,110012,Senanga,61.62303925,0.629599388,0.102899017,0.693441318,0.512393008,0.672158388,0.713019024,0.683020197,0.51026135,0.666330327,0.699174881,1.79E-04,0.005961527,0.004460878
104,LUAPULA,104010,Nchelenge,52.67902374,0.516434968,0.1016132,0.653547757,0.510790029,0.634389524,0.671960018,0.61880223,0.50761139,0.604868122,0.633001872,1.07E-04,0.016067469,0.008466207
104,LUAPULA,104004,Kawambwa,56.6311264,0.574402839,0.101692101,0.689223808,0.512665953,0.668879926,0.709618403,0.674950012,0.510478625,0.656791939,0.692966129,6.55E-05,0.015107494,0.011802377
109,SOUTHERN,109013,Zimba,65.86650848,0.665780208,0.101929079,0.678567037,0.513651027,0.654278386,0.702101452,0.675677869,0.513265119,0.65294391,0.697396247,5.06E-05,3.96E-04,2.89E-04
108,NORTH-WESTERN,108006,Mufumbwe,57.98031616,0.577069962,0.102015012,0.682749801,0.51444397,0.657505716,0.70589944,0.644200183,0.512670538,0.621607299,0.666095643,7.47E-06,0.01059801,0.004146976
109,SOUTHERN,109007,Mazabuka,72.6522522,0.729130766,0.101537375,0.664484202,0.511153493,0.64465328,0.683513727,0.664827403,0.508331858,0.650411742,0.680093618,6.80E-06,0.003848753,0.003806288
106,MUCHINGA,106002,Chinsali,58.2730217,0.582235738,0.10167561,0.669209717,0.511534834,0.649228542,0.688634691,0.636223899,0.509364576,0.619368055,0.653408927,2.45E-07,0.007478704,0.002861574
